,words,frequency
0,bad,2473
1,even,2452
2,good,2270
3,really,1967
4,much,1669
5,first,1312
6,well,1284
7,get,1202
8,also,1116
9,better,1100
10,ever,1091
11,never,1081
12,little,922
13,many,905
14,actually,798
15,great,798
16,back,706
17,still,698
18,real,696
19,funny,691
20,worst,690
21,original,657
22,pretty,654
23,best,652
24,old,612
25,enough,587
26,big,587
27,least,577
28,see,577
29,whole,560
30,take,550
31,give,543
32,dont,543
33,far,538
34,however,531
35,make,520
36,terrible,519
37,long,516
38,new,515
39,ive,498
40,poor,492
41,awful,490
42,stupid,487
43,maybe,475
44,probably,472
45,quite,471
46,almost,466
47,u,463
48,right,461
49,away,460
50,go,456
51,hard,435
52,rather,433
53,last,420
54,american,401
55,instead,400
56,yet,398
57,sure,395
58,always,387
59,main,382
60,else,381
61,horrible,373
62,special,371
63,low,369
64,completely,369
65,young,366
66,worse,363
67,high,358
68,wrong,358
69,cant,352
70,im,333
71,there,327
72,simply,321
73,black,313
74,second,311
75,together,309
76,dead,304
77,especially,296
78,short,283
79,interesting,281
80,minute,280
81,come,273
82,absolutely,272
83,find,268
84,next,264
85,different,264
86,love,264
87,later,262
88,full,260
89,totally,258
90,ridiculous,255
91,perhaps,254
92,know,251
93,true,249
94,classic,247
95,nice,245
96,entire,244
97,obviously,242
98,worth,242
99,keep,241
100,unfortunately,240
101,mean,240
102,try,234
103,white,230
104,top,230
105,already,228
106,didnt,226
107,truly,220
108,overall,216
109,complete,215
110,final,215
111,anyway,213
112,isnt,211
113,cheap,209
114,several,207
115,small,207
116,watch,207
117,obvious,205
118,decent,203
119,poorly,202
120,silly,201
121,let,200
122,able,199
123,close,198
124,feel,198
125,basically,197
126,finally,197
127,often,197
128,possible,196
129,seriously,195
130,say,192
131,want,189
132,apparently,188
133,certainly,187
134,remember,186
135,think,185
136,shot,180
137,boring,179
138,early,179
139,ok,177
140,kill,176
141,exactly,176
142,predictable,175
143,character,174
144,huge,173
145,slow,172
146,serious,170
147,le,169
148,usually,168
149,oh,165
150,local,163
151,evil,163
152,doesnt,163
153,extremely,163
154,screen,160
155,end,159
156,human,156
157,definitely,155
158,start,155
159,mostly,152
160,single,152
161,pathetic,151
162,late,151
163,clearly,149
164,sad,149
165,badly,147
166,soon,147
167,around,146
168,stop,146
169,scary,145
170,english,143
171,beautiful,142
172,particularly,140
173,read,140
174,dull,139
175,weak,139
176,certain,138
177,clear,138
178,girl,136
179,major,135
180,wish,134
181,otherwise,134
182,somewhat,133
183,sometimes,132
184,laugh,132
185,nearly,131
186,fine,130
187,save,129
188,run,129
189,female,127
190,disappointed,127
191,happen,125
192,look,125
193,possibly,124
194,like,124
195,tell,123
196,alone,123
197,cool,122
198,due,122
199,lead,120
200,average,119
201,actual,119
202,flat,118
203,subject,117
204,write,117
205,half,117
206,excellent,117
207,third,117
208,sound,116
209,non,115
210,middle,115
211,ill,115
212,usual,115
213,live,115
214,italian,114
215,comic,114
216,wasnt,114
217,german,114
218,incredibly,113
219,similar,113
220,important,113
221,rich,112
222,hardly,111
223,total,111
224,open,110
225,free,110
226,typical,110
227,laughable,110
228,novel,109
229,forward,109
230,barely,108
231,christian,108
232,dumb,108
233,strange,107
234,painful,107
235,sadly,106
236,fi,106
237,previous,105
238,fast,105
239,happy,104
240,secret,104
241,modern,104
242,earlier,103
243,hilarious,103
244,script,101
245,stay,101
246,father,101
247,indian,101
248,understand,100
249,bit,100
250,dark,99
251,hot,98
252,straight,98
253,sexual,98
254,quickly,98
255,flick,97
256,highly,97
257,french,97
258,scene,97
259,fairly,96
260,weird,96
261,ago,96
262,biggest,95
263,dvd,95
264,play,95
265,honestly,95
266,easy,94
267,positive,94
268,light,94
269,easily,93
270,japanese,93
271,yes,93
272,documentary,93
273,add,93
274,somewhere,93
275,believable,93
276,show,93
277,suddenly,92
278,western,92
279,general,92
280,unbelievable,91
281,famous,91
282,recommend,91
283,avoid,91
284,apart,90
285,musical,89
286,sorry,89
287,strong,89
288,somehow,89
289,various,89
290,supposedly,89
291,guy,89
292,perfect,88
293,large,88
294,basic,87
295,utterly,87
296,buy,87
297,couple,87
298,present,87
299,enjoy,87
300,teen,87
301,guess,85
302,sick,85
303,simple,85
304,interested,84
305,viewer,84
306,fair,84
307,entirely,84
308,particular,84
309,fun,83
310,lame,82
311,favorite,82
312,wonderful,82
313,extra,82
314,eventually,80
315,impossible,80
316,finish,80
317,political,80
318,successful,80
319,wild,80
320,nowhere,79
321,crappy,79
322,plot,79
323,slightly,79
324,realistic,79
325,need,79
326,longer,79
327,indeed,79
328,enjoyable,79
329,common,79
330,deep,78
331,call,78
332,fight,78
333,potential,77
334,amateurish,77
335,th,77
336,giant,77
337,begin,76
338,british,76
339,watchable,76
340,standard,76
341,miss,76
342,literally,76
343,ugly,75
344,rubbish,74
345,front,74
346,popular,74
347,made,74
348,tough,74
349,along,73
350,romantic,73
351,dramatic,73
352,disappointing,72
353,red,72
354,difficult,72
355,unfunny,72
356,former,72
357,public,71
358,wont,71
359,personal,71
360,military,71
361,greatest,70
362,alien,70
363,nazi,70
364,boy,70
365,normal,70
366,heavy,70
367,native,70
368,kid,69
369,immediately,69
370,crazy,69
371,believe,69
372,die,68
373,recent,68
374,thought,68
375,pretentious,68
376,piece,67
377,bother,67
378,become,67
379,mary,67
380,super,67
381,mainly,67
382,turn,67
383,title,67
384,fake,67
385,youll,66
386,okay,66
387,suppose,66
388,dreadful,66
389,imdb,66
390,likely,66
391,care,66
392,lousy,66
393,purpose,66
394,thin,65
395,child,65
396,green,65
397,alive,65
398,atmosphere,65
399,anymore,65
400,younger,65
401,theyre,65
402,central,65
403,lot,64
404,ed,64
405,emotional,64
406,commercial,64
407,aside,64
408,future,64
409,act,63
410,double,63
411,visual,63
412,generally,62
413,direct,62
414,asleep,62
415,fall,61
416,cinematic,61
417,soldier,61
418,watched,61
419,loose,61
420,brilliant,61
421,responsible,61
422,blue,60
423,older,60
424,smart,60
425,slowly,60
426,id,60
427,male,60
428,fit,60
429,rest,60
430,expect,60
431,couldnt,60
432,hear,60
433,constantly,59
434,wooden,59
435,memorable,59
436,horribly,59
437,imagine,59
438,bunch,59
439,personally,58
440,familiar,58
441,naked,58
442,moral,58
443,attractive,58
444,mexican,58
445,please,58
446,angry,58
447,past,58
448,mr,57
449,forgettable,57
450,mysterious,57
451,put,57
452,odd,57
453,steven,56
454,mad,56
455,god,56
456,loud,56
457,thus,56
458,surely,56
459,monster,55
460,remake,55
461,tedious,55
462,twice,55
463,unknown,55
464,key,55
465,lady,55
466,naturally,55
467,merely,55
468,narrative,55
469,shallow,54
470,recently,54
471,arent,54
472,cast,54
473,follow,54
474,suspense,54
475,type,54
476,episode,53
477,ultimately,53
478,agree,53
479,asian,53
480,unnecessary,53
481,wouldnt,53
482,numerous,53
483,social,53
484,entertaining,53
485,gay,53
486,martial,53
487,lose,53
488,ask,53
489,ten,53
490,stick,53
491,suck,52
492,forever,52
493,awesome,52
494,atrocious,52
495,touch,52
496,fan,52
497,hate,52
498,private,52
499,surprisingly,52
500,decide,52
501,actress,52
502,historical,52
503,wonder,52
504,soft,52
505,cover,51
506,aspect,51
507,fat,51
508,halloween,51
509,lovely,51
510,worthy,51
511,professional,51
512,bottom,51
513,bizarre,50
514,terribly,50
515,cold,50
516,hold,50
517,clichã,50
518,earth,50
519,dimensional,49
520,fish,49
521,mildly,49
522,opposite,49
523,ready,49
524,tiny,48
525,honest,48
526,spent,48
527,mother,48
528,sort,48
529,occasionally,48
530,random,48
531,snake,48
532,here,48
533,fantastic,48
534,pull,48
535,utter,48
536,intelligent,48
537,rarely,48
538,independent,48
539,anywhere,48
540,violent,47
541,mind,47
542,cop,47
543,accent,47
544,minor,47
545,serial,47
546,friend,46
547,animal,46
548,bright,46
549,russian,46
550,overly,46
551,willing,46
552,impressive,46
553,spend,46
554,attempt,46
555,absurd,46
556,essentially,46
557,seagal,46
558,graphic,46
559,side,46
560,innocent,46
561,check,46
562,actor,46
563,empty,46
564,painfully,45
565,canadian,45
566,f,45
567,spoof,45
568,idiotic,45
569,miserably,45
570,available,45
571,ninja,45
572,whatsoever,45
573,consider,45
574,religious,45
575,natural,44
576,sleep,44
577,offensive,44
578,latter,44
579,foreign,44
580,powerful,44
581,b,44
582,plenty,44
583,likable,43
584,fully,43
585,fantasy,43
586,creative,43
587,apparent,43
588,quick,43
589,capable,43
590,comedian,43
591,lesbian,43
592,remotely,43
593,acting,43
594,seemingly,43
595,therefore,43
596,sci,43
597,stereotypical,43
